R,G,B
4.0,49.0,40.0
1.0,47.0,37.0
0.0,44.0,33.0
0.0,43.0,32.0
0.0,42.0,32.0
0.0,40.0,31.0
0.0,39.0,31.0
0.0,39.0,31.0
0.0,42.0,33.0
0.0,42.0,33.0
0.0,42.0,32.0
1.0,46.0,35.0
4.0,54.0,40.0
3.0,54.0,38.0
0.0,51.0,35.0
0.0,50.0,33.0
0.0,48.0,33.0
0.0,46.0,31.0
0.0,44.0,29.0
0.0,43.0,31.0
0.0,41.0,32.0
0.0,40.0,33.0
0.0,40.0,33.0
1.0,42.0,36.0
1.0,42.0,36.0
0.0,40.0,34.0
0.0,40.0,35.0
1.0,42.0,37.0
0.0,40.0,36.0
0.0,41.0,36.0
1.0,42.0,36.0
0.0,43.0,36.0
0.0,43.0,36.0
0.0,43.0,36.0
1.0,44.0,37.0
1.0,44.0,37.0
1.0,43.0,37.0
0.0,41.0,34.0
3.0,44.0,38.0
1.0,42.0,35.0
1.0,42.0,35.0
0.0,41.0,34.0
0.0,41.0,34.0
1.0,42.0,35.0
2.0,43.0,35.0
1.0,42.0,35.0
0.0,41.0,34.0
1.0,42.0,35.0
2.0,43.0,37.0
2.0,43.0,37.0
2.0,44.0,37.0
1.0,44.0,37.0
1.0,43.0,36.0
0.0,43.0,35.0
1.0,42.0,36.0
0.0,40.0,34.0
2.0,38.0,32.0
0.0,40.0,32.0
1.0,42.0,34.0
0.0,44.0,33.0
0.0,45.0,34.0
1.0,48.0,36.0
2.0,48.0,37.0
1.0,44.0,35.0
2.0,41.0,38.0
0.0,49.0,36.0
2.0,56.0,37.0
3.0,59.0,35.0
1.0,59.0,32.0
0.0,59.0,30.0
0.0,57.0,29.0
0.0,53.0,29.0
0.0,50.0,31.0
1.0,48.0,32.0
1.0,46.0,34.0
2.0,46.0,34.0
1.0,45.0,34.0
0.0,44.0,34.0
0.0,44.0,33.0
0.0,43.0,33.0
0.0,43.0,34.0
2.0,44.0,37.0
1.0,44.0,36.0
1.0,45.0,37.0
2.0,46.0,35.0
1.0,45.0,35.0
1.0,45.0,35.0
2.0,46.0,36.0
2.0,46.0,36.0
2.0,47.0,37.0
0.0,46.0,35.0
0.0,44.0,33.0
3.0,48.0,37.0
1.0,46.0,35.0
0.0,43.0,32.0
0.0,44.0,33.0
2.0,46.0,35.0
1.0,45.0,34.0
1.0,44.0,33.0
0.0,43.0,32.0
1.0,43.0,32.0
0.0,43.0,32.0
3.0,47.0,37.0
1.0,45.0,35.0
2.0,46.0,36.0
2.0,46.0,36.0
0.0,43.0,33.0
0.0,43.0,33.0
0.0,43.0,33.0
1.0,42.0,34.0
1.0,43.0,35.0
1.0,43.0,35.0
0.0,41.0,33.0
0.0,41.0,32.0
0.0,40.0,32.0
0.0,39.0,31.0
1.0,40.0,34.0
2.0,39.0,34.0
2.0,40.0,34.0
2.0,39.0,34.0
2.0,39.0,34.0
1.0,38.0,34.0
0.0,37.0,33.0
1.0,38.0,32.0
2.0,40.0,33.0
2.0,42.0,34.0
0.0,42.0,32.0
0.0,47.0,34.0
3.0,52.0,36.0
3.0,55.0,38.0
2.0,57.0,38.0
4.0,56.0,39.0
1.0,48.0,35.0
1.0,42.0,34.0
2.0,42.0,38.0
0.0,50.0,36.0
2.0,57.0,36.0
5.0,67.0,38.0
2.0,72.0,33.0
0.0,70.0,28.0
0.0,67.0,26.0
0.0,62.0,28.0
1.0,57.0,31.0
1.0,52.0,33.0
3.0,52.0,33.0
4.0,53.0,34.0
3.0,53.0,33.0
0.0,51.0,32.0
0.0,52.0,32.0
3.0,54.0,37.0
2.0,50.0,34.0
0.0,47.0,33.0
0.0,49.0,36.0
2.0,51.0,37.0
1.0,49.0,33.0
1.0,49.0,33.0
0.0,48.0,33.0
1.0,47.0,34.0
0.0,47.0,33.0
1.0,49.0,35.0
0.0,49.0,32.0
0.0,50.0,33.0
0.0,53.0,35.0
0.0,53.0,33.0
0.0,52.0,34.0
0.0,51.0,34.0
1.0,50.0,33.0
0.0,49.0,31.0
0.0,49.0,31.0
0.0,50.0,31.0
1.0,51.0,33.0
1.0,49.0,33.0
1.0,49.0,33.0
1.0,49.0,33.0
1.0,49.0,33.0
1.0,49.0,33.0
0.0,47.0,33.0
1.0,48.0,34.0
0.0,47.0,33.0
0.0,46.0,33.0
0.0,45.0,34.0
0.0,46.0,34.0
2.0,46.0,33.0
1.0,45.0,32.0
1.0,45.0,33.0
1.0,45.0,33.0
0.0,42.0,32.0
2.0,44.0,34.0
1.0,44.0,33.0
0.0,42.0,32.0
0.0,42.0,32.0
1.0,44.0,34.0
2.0,46.0,36.0
3.0,46.0,36.0
2.0,45.0,36.0
1.0,49.0,35.0
0.0,52.0,33.0
2.0,58.0,34.0
3.0,63.0,35.0
1.0,63.0,33.0
3.0,66.0,36.0
2.0,60.0,35.0
0.0,49.0,32.0
0.0,41.0,31.0
1.0,40.0,33.0
0.0,38.0,34.0
0.0,47.0,34.0
4.0,57.0,37.0
8.0,69.0,40.0
5.0,74.0,36.0
1.0,75.0,31.0
2.0,74.0,30.0
2.0,70.0,31.0
1.0,65.0,30.0
0.0,58.0,31.0
0.0,57.0,31.0
1.0,59.0,32.0
1.0,60.0,33.0
0.0,58.0,31.0
0.0,59.0,34.0
1.0,59.0,34.0
0.0,57.0,33.0
0.0,56.0,34.0
0.0,54.0,35.0
