R,G,B
0.0,53.0,35.0
0.0,52.0,30.0
0.0,52.0,30.0
0.0,50.0,31.0
0.0,50.0,31.0
0.0,49.0,32.0
0.0,52.0,33.0
0.0,53.0,32.0
1.0,55.0,33.0
1.0,58.0,35.0
0.0,58.0,34.0
1.0,59.0,35.0
3.0,57.0,35.0
2.0,57.0,34.0
1.0,56.0,32.0
1.0,56.0,32.0
1.0,56.0,32.0
0.0,54.0,31.0
1.0,55.0,33.0
1.0,55.0,33.0
1.0,54.0,33.0
0.0,53.0,32.0
1.0,54.0,32.0
1.0,53.0,34.0
0.0,52.0,33.0
1.0,53.0,34.0
1.0,53.0,35.0
0.0,51.0,34.0
0.0,50.0,32.0
0.0,50.0,32.0
1.0,51.0,33.0
0.0,50.0,31.0
0.0,49.0,31.0
1.0,49.0,31.0
2.0,50.0,32.0
3.0,51.0,34.0
3.0,51.0,33.0
0.0,50.0,29.0
0.0,53.0,29.0
0.0,54.0,31.0
0.0,54.0,30.0
0.0,53.0,30.0
0.0,57.0,29.0
0.0,62.0,30.0
1.0,68.0,32.0
1.0,73.0,32.0
1.0,74.0,32.0
0.0,69.0,33.0
0.0,62.0,34.0
1.0,53.0,35.0
0.0,43.0,34.0
2.0,41.0,34.0
0.0,39.0,34.0
0.0,43.0,33.0
2.0,54.0,36.0
6.0,66.0,39.0
5.0,74.0,37.0
2.0,79.0,35.0
0.0,78.0,31.0
1.0,77.0,32.0
1.0,73.0,31.0
2.0,68.0,31.0
1.0,67.0,32.0
1.0,67.0,32.0
1.0,67.0,32.0
0.0,66.0,31.0
0.0,64.0,31.0
0.0,64.0,32.0
0.0,62.0,33.0
0.0,60.0,33.0
0.0,58.0,34.0
0.0,58.0,33.0
0.0,57.0,31.0
1.0,58.0,33.0
1.0,58.0,33.0
3.0,58.0,34.0
1.0,55.0,34.0
1.0,58.0,34.0
0.0,57.0,33.0
1.0,60.0,34.0
2.0,63.0,36.0
0.0,62.0,34.0
0.0,61.0,33.0
1.0,61.0,34.0
1.0,62.0,34.0
1.0,61.0,33.0
0.0,61.0,32.0
1.0,62.0,34.0
1.0,62.0,34.0
1.0,61.0,34.0
1.0,60.0,33.0
1.0,59.0,34.0
0.0,58.0,33.0
2.0,60.0,34.0
2.0,59.0,34.0
1.0,58.0,33.0
2.0,59.0,34.0
0.0,57.0,34.0
2.0,58.0,36.0
3.0,60.0,36.0
4.0,60.0,35.0
2.0,59.0,33.0
1.0,58.0,32.0
2.0,59.0,33.0
1.0,58.0,33.0
0.0,58.0,32.0
1.0,60.0,32.0
2.0,60.0,32.0
0.0,59.0,30.0
0.0,59.0,27.0
0.0,60.0,28.0
0.0,60.0,28.0
0.0,62.0,27.0
1.0,68.0,30.0
0.0,72.0,30.0
1.0,76.0,32.0
1.0,80.0,32.0
3.0,82.0,34.0
5.0,79.0,38.0
0.0,65.0,34.0
1.0,55.0,36.0
0.0,44.0,34.0
0.0,38.0,34.0
0.0,40.0,30.0
2.0,49.0,34.0
4.0,62.0,38.0
3.0,71.0,37.0
2.0,79.0,35.0
0.0,80.0,32.0
0.0,79.0,31.0
0.0,77.0,30.0
0.0,73.0,28.0
0.0,71.0,28.0
2.0,72.0,32.0
3.0,72.0,32.0
1.0,69.0,30.0
1.0,69.0,31.0
1.0,67.0,31.0
2.0,66.0,33.0
0.0,62.0,31.0
1.0,60.0,32.0
2.0,61.0,33.0
0.0,61.0,30.0
0.0,60.0,32.0
0.0,60.0,32.0
2.0,61.0,33.0
1.0,60.0,34.0
2.0,62.0,34.0
2.0,62.0,34.0
1.0,64.0,33.0
1.0,65.0,34.0
0.0,66.0,34.0
2.0,68.0,35.0
0.0,66.0,33.0
0.0,65.0,33.0
1.0,66.0,34.0
0.0,65.0,33.0
0.0,65.0,33.0
1.0,66.0,33.0
0.0,66.0,33.0
0.0,62.0,31.0
1.0,64.0,34.0
0.0,63.0,33.0
2.0,65.0,34.0
0.0,62.0,31.0
0.0,63.0,33.0
1.0,62.0,34.0
1.0,62.0,35.0
2.0,63.0,36.0
2.0,63.0,34.0
1.0,63.0,32.0
0.0,62.0,30.0
1.0,64.0,32.0
1.0,65.0,33.0
1.0,64.0,32.0
1.0,66.0,31.0
1.0,66.0,32.0
0.0,66.0,31.0
0.0,64.0,29.0
0.0,64.0,31.0
0.0,65.0,31.0
0.0,66.0,30.0
2.0,71.0,33.0
5.0,76.0,36.0
4.0,78.0,34.0
3.0,81.0,34.0
3.0,82.0,34.0
1.0,82.0,34.0
4.0,80.0,38.0
0.0,67.0,32.0
0.0,54.0,35.0
0.0,43.0,34.0
3.0,41.0,37.0
3.0,40.0,33.0
1.0,45.0,32.0
2.0,54.0,33.0
2.0,64.0,36.0
0.0,73.0,34.0
1.0,78.0,34.0
0.0,77.0,31.0
0.0,78.0,30.0
1.0,77.0,30.0
2.0,75.0,31.0
1.0,74.0,31.0
1.0,73.0,31.0
1.0,72.0,30.0
3.0,74.0,32.0
0.0,68.0,29.0
0.0,68.0,31.0
3.0,68.0,34.0
1.0,65.0,31.0
0.0,64.0,31.0
0.0,65.0,33.0
0.0,65.0,33.0
0.0,63.0,32.0
0.0,62.0,33.0
0.0,62.0,33.0
0.0,62.0,32.0
1.0,63.0,32.0
2.0,65.0,34.0
0.0,65.0,33.0
1.0,68.0,33.0
1.0,68.0,33.0
2.0,69.0,34.0
0.0,67.0,32.0
0.0,67.0,32.0
3.0,70.0,35.0
0.0,67.0,32.0
0.0,66.0,32.0
0.0,65.0,30.0
1.0,66.0,34.0
0.0,64.0,32.0
1.0,66.0,34.0
3.0,68.0,36.0
0.0,65.0,33.0
0.0,65.0,33.0
0.0,65.0,33.0
0.0,65.0,33.0
2.0,67.0,35.0
2.0,68.0,34.0
1.0,68.0,33.0
2.0,69.0,34.0
0.0,67.0,31.0
0.0,67.0,31.0
0.0,66.0,29.0
2.0,70.0,31.0
0.0,71.0,31.0
0.0,69.0,29.0
0.0,68.0,29.0
1.0,69.0,32.0
1.0,71.0,32.0
2.0,73.0,33.0
4.0,76.0,36.0
3.0,78.0,35.0
5.0,82.0,37.0
4.0,83.0,36.0
2.0,84.0,36.0
4.0,84.0,37.0
1.0,74.0,35.0
0.0,63.0,33.0
0.0,51.0,31.0
0.0,41.0,32.0
0.0,39.0,36.0
0.0,40.0,31.0
0.0,45.0,31.0
0.0,54.0,34.0
0.0,62.0,33.0
1.0,68.0,33.0
3.0,73.0,35.0
4.0,73.0,32.0
1.0,73.0,30.0
2.0,75.0,34.0
0.0,74.0,34.0
0.0,74.0,33.0
0.0,72.0,31.0
0.0,72.0,33.0
3.0,75.0,36.0
0.0,70.0,33.0
1.0,69.0,34.0
0.0,66.0,33.0
0.0,65.0,32.0
1.0,66.0,34.0
0.0,64.0,32.0
0.0,62.0,33.0
0.0,63.0,34.0
0.0,60.0,32.0
0.0,62.0,33.0
0.0,63.0,33.0
0.0,63.0,32.0
0.0,62.0,30.0
0.0,64.0,31.0
0.0,64.0,31.0
0.0,66.0,33.0
0.0,66.0,33.0
1.0,68.0,34.0
1.0,68.0,35.0
2.0,69.0,35.0
2.0,68.0,35.0
0.0,65.0,32.0
0.0,63.0,31.0
0.0,63.0,31.0
0.0,65.0,33.0
1.0,66.0,34.0
0.0,64.0,32.0
0.0,65.0,33.0
0.0,65.0,33.0
1.0,66.0,34.0
2.0,68.0,35.0
1.0,68.0,33.0
0.0,67.0,32.0
2.0,69.0,34.0
2.0,69.0,33.0
1.0,69.0,32.0
1.0,69.0,31.0
1.0,70.0,32.0
1.0,71.0,33.0
1.0,71.0,33.0
1.0,71.0,32.0
1.0,73.0,32.0
0.0,74.0,30.0
0.0,75.0,32.0
2.0,78.0,33.0
1.0,79.0,32.0
3.0,81.0,34.0
3.0,83.0,35.0
1.0,80.0,33.0
0.0,74.0,30.0
0.0,64.0,32.0
0.0,53.0,30.0
0.0,46.0,32.0
0.0,41.0,33.0
0.0,39.0,32.0
0.0,44.0,31.0
0.0,48.0,31.0
0.0,55.0,32.0
4.0,63.0,35.0
4.0,65.0,35.0
3.0,65.0,34.0
1.0,68.0,34.0
0.0,69.0,34.0
0.0,70.0,35.0
0.0,68.0,33.0
0.0,69.0,33.0
0.0,69.0,33.0
0.0,67.0,33.0
0.0,68.0,35.0
0.0,66.0,35.0
1.0,67.0,35.0
2.0,67.0,36.0
1.0,65.0,36.0
1.0,62.0,34.0
0.0,62.0,34.0
1.0,61.0,34.0
2.0,61.0,34.0
0.0,62.0,34.0
1.0,63.0,33.0
1.0,62.0,32.0
1.0,62.0,32.0
1.0,62.0,32.0
1.0,62.0,33.0
0.0,64.0,33.0
2.0,66.0,35.0
0.0,65.0,34.0
2.0,66.0,36.0
1.0,65.0,35.0
0.0,64.0,33.0
3.0,65.0,36.0
2.0,64.0,35.0
1.0,64.0,33.0
0.0,64.0,33.0
0.0,64.0,33.0
0.0,64.0,33.0
0.0,64.0,33.0
1.0,65.0,34.0
2.0,66.0,35.0
2.0,67.0,34.0
1.0,67.0,34.0
2.0,68.0,34.0
2.0,68.0,35.0
0.0,67.0,32.0
0.0,66.0,32.0
0.0,66.0,32.0
1.0,68.0,33.0
3.0,70.0,35.0
3.0,71.0,35.0
0.0,71.0,31.0
0.0,72.0,31.0
1.0,75.0,32.0
1.0,76.0,32.0
1.0,75.0,32.0
1.0,76.0,33.0
3.0,75.0,35.0
1.0,73.0,33.0
0.0,64.0,30.0
0.0,54.0,33.0
0.0,46.0,32.0
1.0,42.0,34.0
1.0,40.0,36.0
1.0,38.0,34.0
0.0,39.0,32.0
2.0,45.0,33.0
2.0,49.0,32.0
0.0,50.0,31.0
0.0,52.0,30.0
2.0,58.0,34.0
2.0,59.0,33.0
3.0,61.0,34.0
0.0,59.0,32.0
0.0,59.0,31.0
1.0,61.0,33.0
2.0,61.0,34.0
0.0,60.0,34.0
1.0,61.0,35.0
1.0,64.0,37.0
1.0,64.0,35.0
2.0,64.0,38.0
2.0,62.0,36.0
2.0,62.0,36.0
3.0,60.0,36.0
2.0,60.0,35.0
0.0,59.0,34.0
2.0,62.0,36.0
3.0,62.0,35.0
1.0,60.0,32.0
4.0,63.0,35.0
5.0,64.0,37.0
1.0,61.0,33.0
0.0,62.0,33.0
0.0,61.0,32.0
0.0,62.0,34.0
0.0,60.0,32.0
1.0,61.0,33.0
3.0,62.0,37.0
2.0,62.0,36.0
1.0,60.0,34.0
1.0,61.0,33.0
1.0,64.0,35.0
0.0,62.0,33.0
0.0,63.0,34.0
0.0,63.0,34.0
1.0,64.0,33.0
2.0,66.0,35.0
2.0,67.0,35.0
1.0,66.0,34.0
1.0,66.0,35.0
1.0,66.0,35.0
4.0,66.0,36.0
3.0,66.0,35.0
2.0,64.0,34.0
3.0,65.0,34.0
3.0,66.0,35.0
2.0,65.0,32.0
2.0,66.0,32.0
2.0,66.0,32.0
0.0,65.0,30.0
2.0,65.0,32.0
2.0,64.0,32.0
1.0,60.0,33.0
1.0,58.0,34.0
0.0,52.0,31.0
0.0,43.0,31.0
0.0,39.0,31.0
2.0,38.0,35.0
2.0,36.0,34.0
0.0,37.0,32.0
0.0,37.0,29.0
0.0,40.0,30.0
0.0,45.0,31.0
0.0,45.0,30.0
0.0,45.0,28.0
1.0,49.0,31.0
2.0,50.0,31.0
1.0,51.0,31.0
0.0,50.0,30.0
2.0,52.0,32.0
2.0,52.0,32.0
0.0,50.0,31.0
0.0,51.0,31.0
0.0,57.0,35.0
0.0,56.0,34.0
0.0,55.0,33.0
1.0,55.0,34.0
0.0,53.0,32.0
0.0,53.0,32.0
0.0,52.0,32.0
0.0,54.0,33.0
1.0,55.0,33.0
0.0,52.0,30.0
0.0,52.0,29.0
0.0,53.0,30.0
0.0,55.0,32.0
1.0,57.0,34.0
1.0,56.0,33.0
2.0,57.0,34.0
3.0,58.0,35.0
2.0,57.0,34.0
1.0,56.0,35.0
2.0,58.0,35.0
2.0,58.0,34.0
2.0,58.0,34.0
1.0,59.0,35.0
0.0,58.0,34.0
0.0,59.0,34.0
1.0,60.0,35.0
2.0,61.0,36.0
3.0,62.0,37.0
4.0,63.0,38.0
0.0,58.0,32.0
0.0,57.0,32.0
0.0,58.0,33.0
0.0,57.0,32.0
0.0,56.0,32.0
0.0,54.0,30.0
0.0,53.0,28.0
0.0,53.0,30.0
1.0,51.0,31.0
1.0,52.0,30.0
0.0,51.0,30.0
0.0,50.0,30.0
0.0,51.0,31.0
0.0,49.0,31.0
0.0,46.0,32.0
3.0,46.0,35.0
0.0,42.0,32.0
2.0,39.0,34.0
3.0,37.0,35.0
0.0,36.0,33.0
0.0,37.0,33.0
1.0,39.0,35.0
0.0,40.0,34.0
1.0,42.0,35.0
1.0,42.0,35.0
0.0,42.0,34.0
1.0,43.0,35.0
2.0,44.0,36.0
0.0,42.0,33.0
0.0,42.0,33.0
0.0,41.0,32.0
0.0,43.0,33.0
0.0,46.0,35.0
2.0,49.0,38.0
3.0,48.0,38.0
2.0,46.0,36.0
0.0,44.0,34.0
0.0,43.0,33.0
0.0,42.0,32.0
1.0,44.0,35.0
3.0,46.0,36.0
1.0,46.0,34.0
0.0,45.0,33.0
0.0,46.0,34.0
1.0,48.0,35.0
1.0,48.0,35.0
1.0,47.0,35.0
1.0,47.0,35.0
1.0,48.0,35.0
1.0,48.0,36.0
0.0,44.0,32.0
3.0,49.0,37.0
2.0,49.0,37.0
1.0,48.0,36.0
1.0,49.0,36.0
1.0,49.0,36.0
2.0,50.0,37.0
2.0,51.0,38.0
1.0,48.0,35.0
0.0,48.0,35.0
0.0,47.0,34.0
0.0,46.0,33.0
0.0,47.0,34.0
0.0,48.0,35.0
0.0,46.0,33.0
0.0,45.0,33.0
0.0,43.0,31.0
0.0,44.0,32.0
0.0,43.0,32.0
1.0,42.0,33.0
2.0,44.0,34.0
2.0,43.0,34.0
0.0,41.0,32.0
0.0,41.0,32.0
0.0,40.0,32.0
0.0,39.0,33.0
0.0,40.0,33.0
0.0,39.0,34.0
0.0,40.0,34.0
0.0,40.0,34.0
0.0,39.0,33.0
0.0,40.0,34.0
0.0,39.0,33.0
0.0,40.0,32.0
0.0,40.0,32.0
0.0,39.0,31.0
0.0,41.0,32.0
0.0,42.0,33.0
0.0,41.0,32.0
0.0,41.0,32.0
0.0,41.0,32.0
0.0,42.0,33.0
0.0,42.0,33.0
0.0,41.0,33.0
1.0,42.0,34.0
2.0,43.0,35.0
0.0,42.0,33.0
0.0,42.0,33.0
0.0,43.0,34.0
0.0,43.0,34.0
0.0,43.0,34.0
0.0,42.0,33.0
0.0,42.0,33.0
0.0,43.0,34.0
1.0,44.0,35.0
0.0,42.0,33.0
0.0,42.0,33.0
0.0,41.0,32.0
0.0,42.0,33.0
1.0,44.0,35.0
0.0,43.0,34.0
0.0,43.0,34.0
0.0,41.0,33.0
0.0,41.0,33.0
0.0,43.0,34.0
0.0,42.0,34.0
0.0,41.0,33.0
0.0,42.0,33.0
0.0,42.0,34.0
0.0,40.0,32.0
0.0,39.0,31.0
0.0,40.0,32.0
1.0,40.0,32.0
0.0,38.0,30.0
0.0,37.0,30.0
0.0,38.0,31.0
0.0,39.0,31.0
0.0,38.0,33.0
0.0,39.0,34.0
0.0,39.0,34.0
0.0,39.0,34.0
0.0,41.0,35.0
0.0,41.0,35.0
0.0,41.0,35.0
0.0,40.0,34.0
1.0,42.0,36.0
0.0,41.0,35.0
0.0,40.0,34.0
0.0,41.0,35.0
0.0,43.0,36.0
0.0,43.0,36.0
0.0,43.0,36.0
0.0,43.0,36.0
1.0,44.0,37.0
1.0,44.0,37.0
1.0,44.0,37.0
0.0,43.0,36.0
0.0,43.0,36.0
1.0,42.0,36.0
0.0,40.0,36.0
0.0,40.0,36.0
0.0,41.0,35.0
0.0,41.0,35.0
0.0,41.0,36.0
1.0,40.0,36.0
0.0,39.0,36.0
0.0,39.0,36.0
1.0,41.0,34.0
0.0,39.0,32.0
0.0,39.0,31.0
0.0,41.0,35.0
0.0,42.0,36.0
1.0,42.0,36.0
3.0,44.0,40.0
1.0,42.0,38.0
2.0,43.0,39.0
1.0,41.0,38.0
1.0,40.0,37.0
