R,G,B
1.0,39.0,33.0
0.0,39.0,33.0
0.0,39.0,32.0
0.0,39.0,31.0
0.0,38.0,31.0
0.0,38.0,32.0
0.0,38.0,32.0
0.0,36.0,33.0
1.0,36.0,33.0
0.0,35.0,34.0
1.0,34.0,34.0
0.0,35.0,33.0
0.0,35.0,33.0
0.0,33.0,33.0
0.0,33.0,32.0
0.0,34.0,31.0
2.0,36.0,33.0
1.0,36.0,33.0
1.0,37.0,33.0
0.0,36.0,32.0
1.0,36.0,33.0
0.0,35.0,31.0
0.0,35.0,31.0
2.0,37.0,33.0
0.0,35.0,32.0
0.0,35.0,31.0
0.0,34.0,31.0
0.0,32.0,30.0
0.0,34.0,33.0
1.0,35.0,34.0
2.0,36.0,34.0
1.0,36.0,34.0
1.0,37.0,35.0
0.0,36.0,34.0
0.0,34.0,33.0
1.0,35.0,34.0
1.0,35.0,36.0
1.0,34.0,33.0
1.0,35.0,34.0
3.0,37.0,36.0
2.0,34.0,33.0
3.0,35.0,32.0
2.0,34.0,31.0
0.0,34.0,33.0
0.0,33.0,33.0
0.0,33.0,34.0
2.0,33.0,35.0
1.0,32.0,34.0
1.0,32.0,34.0
2.0,33.0,35.0
2.0,33.0,35.0
1.0,33.0,34.0
0.0,34.0,35.0
0.0,36.0,36.0
0.0,34.0,35.0
