R,G,B
3.0,38.0,39.0
3.0,39.0,39.0
0.0,37.0,36.0
2.0,41.0,40.0
4.0,43.0,42.0
4.0,43.0,42.0
0.0,38.0,35.0
0.0,37.0,34.0
0.0,35.0,35.0
1.0,37.0,37.0
2.0,38.0,38.0
2.0,38.0,38.0
3.0,39.0,39.0
1.0,37.0,37.0
0.0,37.0,36.0
0.0,36.0,35.0
3.0,43.0,42.0
2.0,42.0,41.0
1.0,41.0,40.0
1.0,37.0,35.0
1.0,37.0,35.0
0.0,36.0,34.0
0.0,34.0,32.0
1.0,37.0,34.0
0.0,37.0,34.0
0.0,37.0,34.0
0.0,37.0,34.0
0.0,38.0,34.0
0.0,39.0,35.0
0.0,38.0,33.0
0.0,39.0,34.0
0.0,39.0,35.0
0.0,38.0,33.0
0.0,37.0,32.0
0.0,38.0,33.0
0.0,36.0,32.0
2.0,38.0,34.0
0.0,37.0,33.0
0.0,38.0,33.0
1.0,40.0,35.0
0.0,40.0,34.0
0.0,39.0,33.0
0.0,39.0,33.0
0.0,39.0,35.0
0.0,39.0,36.0
0.0,39.0,36.0
0.0,39.0,35.0
0.0,39.0,35.0
0.0,38.0,35.0
0.0,40.0,36.0
0.0,39.0,35.0
1.0,42.0,39.0
1.0,42.0,39.0
0.0,42.0,38.0
2.0,43.0,38.0
2.0,42.0,37.0
0.0,40.0,35.0
1.0,38.0,34.0
0.0,38.0,34.0
0.0,38.0,34.0
0.0,38.0,34.0
1.0,38.0,34.0
0.0,38.0,32.0
0.0,38.0,31.0
0.0,39.0,32.0
0.0,40.0,33.0
0.0,39.0,32.0
0.0,39.0,33.0
1.0,41.0,34.0
1.0,43.0,35.0
1.0,43.0,35.0
3.0,43.0,38.0
2.0,42.0,36.0
1.0,40.0,35.0
1.0,40.0,35.0
1.0,39.0,34.0
0.0,38.0,34.0
0.0,39.0,34.0
0.0,40.0,35.0
1.0,41.0,36.0
2.0,41.0,34.0
1.0,39.0,33.0
1.0,40.0,33.0
1.0,39.0,33.0
1.0,39.0,33.0
1.0,39.0,33.0
0.0,38.0,31.0
1.0,40.0,33.0
1.0,40.0,33.0
0.0,39.0,33.0
0.0,37.0,32.0
0.0,37.0,32.0
0.0,39.0,34.0
0.0,38.0,33.0
0.0,39.0,34.0
0.0,38.0,33.0
0.0,38.0,33.0
1.0,39.0,34.0
0.0,39.0,34.0
1.0,37.0,33.0
2.0,38.0,34.0
1.0,39.0,34.0
0.0,39.0,34.0
0.0,39.0,34.0
0.0,41.0,35.0
0.0,42.0,36.0
0.0,42.0,35.0
1.0,43.0,36.0
0.0,42.0,36.0
0.0,42.0,36.0
1.0,43.0,38.0
2.0,45.0,39.0
2.0,44.0,38.0
1.0,43.0,37.0
1.0,44.0,38.0
0.0,43.0,37.0
1.0,45.0,39.0
0.0,43.0,38.0
1.0,42.0,38.0
0.0,40.0,36.0
1.0,43.0,37.0
3.0,47.0,39.0
3.0,47.0,38.0
2.0,47.0,36.0
7.0,50.0,40.0
3.0,47.0,36.0
1.0,44.0,34.0
1.0,44.0,34.0
0.0,43.0,33.0
1.0,44.0,32.0
1.0,45.0,33.0
1.0,45.0,33.0
1.0,44.0,33.0
1.0,44.0,33.0
0.0,45.0,33.0
1.0,45.0,34.0
0.0,46.0,34.0
0.0,46.0,34.0
1.0,45.0,35.0
1.0,42.0,34.0
0.0,42.0,33.0
2.0,43.0,35.0
4.0,44.0,36.0
1.0,42.0,33.0
1.0,42.0,33.0
1.0,42.0,33.0
2.0,44.0,34.0
2.0,44.0,34.0
0.0,43.0,33.0
1.0,44.0,34.0
0.0,43.0,32.0
0.0,42.0,31.0
1.0,43.0,33.0
0.0,41.0,32.0
1.0,43.0,33.0
2.0,44.0,34.0
1.0,42.0,33.0
0.0,41.0,33.0
0.0,40.0,32.0
0.0,40.0,33.0
1.0,41.0,34.0
1.0,41.0,34.0
0.0,41.0,34.0
1.0,42.0,34.0
1.0,42.0,34.0
0.0,43.0,34.0
0.0,41.0,33.0
1.0,43.0,35.0
1.0,42.0,33.0
1.0,42.0,33.0
1.0,43.0,34.0
0.0,44.0,34.0
0.0,46.0,35.0
0.0,46.0,34.0
0.0,46.0,34.0
0.0,48.0,36.0
0.0,47.0,35.0
1.0,50.0,37.0
2.0,52.0,39.0
1.0,51.0,38.0
0.0,48.0,36.0
2.0,51.0,38.0
2.0,50.0,38.0
1.0,49.0,38.0
1.0,46.0,37.0
1.0,43.0,38.0
0.0,40.0,36.0
2.0,46.0,37.0
3.0,51.0,39.0
2.0,54.0,40.0
1.0,55.0,36.0
2.0,55.0,37.0
1.0,54.0,34.0
0.0,53.0,33.0
2.0,55.0,35.0
1.0,54.0,34.0
2.0,54.0,34.0
1.0,52.0,33.0
0.0,51.0,32.0
0.0,48.0,29.0
1.0,49.0,33.0
2.0,50.0,34.0
0.0,51.0,34.0
0.0,51.0,34.0
0.0,51.0,34.0
2.0,50.0,36.0
1.0,47.0,34.0
0.0,47.0,35.0
1.0,46.0,35.0
4.0,47.0,37.0
4.0,47.0,37.0
2.0,47.0,33.0
2.0,46.0,33.0
1.0,48.0,32.0
1.0,49.0,34.0
0.0,48.0,34.0
2.0,50.0,36.0
2.0,48.0,35.0
2.0,48.0,35.0
1.0,47.0,34.0
0.0,46.0,33.0
1.0,47.0,34.0
2.0,48.0,34.0
0.0,46.0,34.0
1.0,47.0,36.0
2.0,46.0,35.0
2.0,45.0,35.0
1.0,44.0,34.0
2.0,45.0,35.0
0.0,46.0,35.0
0.0,46.0,35.0
0.0,47.0,35.0
0.0,48.0,36.0
2.0,50.0,38.0
2.0,50.0,37.0
1.0,49.0,35.0
1.0,48.0,34.0
0.0,48.0,32.0
3.0,51.0,35.0
2.0,53.0,34.0
1.0,54.0,33.0
2.0,55.0,35.0
1.0,56.0,35.0
1.0,60.0,36.0
2.0,63.0,37.0
2.0,62.0,37.0
0.0,60.0,34.0
1.0,61.0,36.0
3.0,61.0,38.0
3.0,58.0,37.0
0.0,52.0,31.0
0.0,48.0,35.0
2.0,44.0,38.0
0.0,40.0,36.0
5.0,46.0,38.0
4.0,52.0,40.0
1.0,55.0,38.0
0.0,61.0,37.0
0.0,63.0,38.0
2.0,62.0,37.0
0.0,58.0,33.0
0.0,57.0,33.0
3.0,61.0,36.0
1.0,58.0,34.0
0.0,57.0,33.0
1.0,56.0,33.0
1.0,56.0,33.0
1.0,56.0,33.0
1.0,55.0,35.0
2.0,56.0,35.0
1.0,55.0,35.0
1.0,55.0,34.0
2.0,57.0,37.0
0.0,54.0,35.0
0.0,52.0,34.0
0.0,51.0,35.0
0.0,51.0,35.0
0.0,51.0,35.0
0.0,49.0,34.0
0.0,51.0,33.0
0.0,52.0,34.0
0.0,51.0,35.0
0.0,51.0,36.0
2.0,53.0,38.0
2.0,53.0,38.0
2.0,52.0,37.0
1.0,49.0,35.0
2.0,50.0,36.0
2.0,51.0,37.0
1.0,50.0,36.0
0.0,50.0,36.0
0.0,50.0,34.0
2.0,50.0,35.0
2.0,50.0,35.0
2.0,49.0,35.0
1.0,49.0,35.0
1.0,50.0,35.0
1.0,51.0,35.0
1.0,53.0,36.0
1.0,53.0,36.0
0.0,51.0,35.0
0.0,51.0,34.0
0.0,52.0,34.0
1.0,53.0,34.0
2.0,55.0,33.0
2.0,56.0,34.0
2.0,59.0,35.0
1.0,59.0,33.0
1.0,60.0,34.0
4.0,63.0,36.0
2.0,64.0,34.0
0.0,65.0,34.0
0.0,67.0,34.0
0.0,69.0,34.0
0.0,68.0,35.0
1.0,66.0,37.0
2.0,65.0,39.0
0.0,61.0,37.0
0.0,51.0,36.0
0.0,43.0,36.0
0.0,40.0,36.0
5.0,42.0,35.0
7.0,53.0,42.0
3.0,60.0,41.0
1.0,65.0,40.0
2.0,68.0,41.0
1.0,67.0,38.0
1.0,65.0,35.0
1.0,63.0,33.0
1.0,63.0,33.0
0.0,63.0,34.0
0.0,63.0,34.0
1.0,62.0,35.0
1.0,62.0,35.0
1.0,60.0,34.0
0.0,59.0,34.0
1.0,60.0,35.0
0.0,58.0,34.0
0.0,58.0,33.0
1.0,58.0,35.0
0.0,55.0,33.0
0.0,55.0,33.0
0.0,54.0,34.0
0.0,53.0,34.0
0.0,54.0,35.0
0.0,54.0,36.0
2.0,56.0,38.0
3.0,57.0,38.0
1.0,54.0,36.0
1.0,54.0,36.0
1.0,54.0,36.0
0.0,54.0,36.0
0.0,52.0,34.0
0.0,52.0,34.0
0.0,52.0,34.0
1.0,53.0,35.0
2.0,55.0,37.0
3.0,55.0,36.0
2.0,55.0,35.0
2.0,54.0,34.0
1.0,53.0,35.0
3.0,53.0,35.0
2.0,54.0,36.0
3.0,55.0,36.0
1.0,55.0,35.0
1.0,56.0,36.0
2.0,57.0,37.0
3.0,58.0,37.0
5.0,59.0,37.0
2.0,59.0,36.0
1.0,59.0,34.0
1.0,60.0,34.0
1.0,63.0,33.0
0.0,64.0,33.0
0.0,65.0,33.0
1.0,67.0,35.0
2.0,68.0,33.0
3.0,70.0,32.0
2.0,73.0,32.0
1.0,75.0,33.0
0.0,75.0,32.0
0.0,74.0,34.0
1.0,73.0,36.0
5.0,72.0,41.0
1.0,65.0,39.0
1.0,53.0,38.0
1.0,42.0,36.0
0.0,39.0,35.0
2.0,38.0,32.0
2.0,47.0,37.0
4.0,58.0,41.0
0.0,62.0,39.0
2.0,65.0,38.0
0.0,64.0,35.0
1.0,65.0,36.0
1.0,66.0,36.0
1.0,67.0,35.0
1.0,68.0,35.0
1.0,68.0,35.0
1.0,66.0,36.0
0.0,66.0,36.0
0.0,64.0,35.0
0.0,62.0,35.0
1.0,64.0,37.0
0.0,62.0,35.0
0.0,60.0,35.0
1.0,56.0,33.0
0.0,54.0,31.0
0.0,54.0,31.0
0.0,52.0,31.0
0.0,52.0,32.0
1.0,54.0,34.0
1.0,53.0,36.0
1.0,53.0,36.0
1.0,52.0,35.0
1.0,53.0,34.0
1.0,56.0,35.0
0.0,55.0,34.0
1.0,56.0,35.0
0.0,54.0,33.0
0.0,53.0,32.0
0.0,55.0,34.0
0.0,55.0,34.0
0.0,55.0,34.0
1.0,56.0,35.0
0.0,54.0,31.0
0.0,54.0,31.0
0.0,55.0,32.0
2.0,57.0,33.0
1.0,56.0,33.0
1.0,56.0,33.0
0.0,58.0,34.0
0.0,57.0,33.0
0.0,57.0,33.0
0.0,59.0,34.0
2.0,61.0,36.0
0.0,60.0,33.0
0.0,62.0,33.0
1.0,66.0,36.0
0.0,66.0,33.0
0.0,68.0,33.0
0.0,70.0,33.0
0.0,71.0,34.0
2.0,72.0,35.0
2.0,73.0,33.0
0.0,74.0,31.0
0.0,76.0,30.0
